nazev,efekt,default,zpusob ziskani,fluff,počet
Skřítci,"Hoď si kostkou. Pokud ti padlo 1 nebo 2, skřítky pobouřilo, že jste je vyrušili z jejich klidu a začali po vás házet kameny. První tři z vás jsou zraněni za jeden život. Pokud ti padlo 3 nebo 4, skřítci si vás nevšímají. Pokud ti padlo 5 nebo 6, skřítci mají dobrou náladu a prvním třem z vás vyléčí jeden život.",1,,Vešli jste do jeskyně osvětlené září plamene. Kolem ohniště odpočívají tři drobné postavy.,2
Raraši,"Za každého z vás se rozhodněte, jestli bude pokousán rarachy a bude chroptět, nebo za něj odhodíte jednu kartu.",1,,"Z ničeho nic uslyšíte zlomyslný smích a ze stropu a stěn na vás vyskočí hromada zelených mužíků. Začnou vás škrábat, kousat, škrtit, pohlcuje vás zoufalství.",1
Bludička,Ztratili jste se ve změti tunelů. Bez vyhodnocování odhoďte 5 karet.,1,,"V tunelu před vámi se objeví mihotající se světlo. Poletuje nahoru a dolů, zhasíná se a rozsvěcí. Zvědavě ho následujete dál do hlubin jeskyně.",1
Zdobená truhla,"Pokud máte kartu Klíč ..., truhlu můžete otevřít. Obsah truhly obdržíte u alchymisty.",1,,"Ve stěně tunelu si všimnete kamene, který jde uvolnit. Zvědavě ho vytáhnete a podíváte se do nově vzniklé průrvy - leží před vámi pěkná, stříbrem zdobená truhla s ornamenty.",1
Pohyblivá dlaždice,"Každý, kdo nemá aspekt První linie, je zraněn za dva životy. Může se tomu vyhnout sesláním kouzla Ochanné pole.",1,,"procházíte opracovanou chodbou s vydlážděnou podlahou. Na stěnách visí vyhaslé louče. Z ničeho nic uslyšíte cvaknutí a cítíte, jak se dlaždice pod vámi lehce propadla. Ze sten na vás vystřelí sprška šípů.",1
Roj hladových netopýrů,"Hoďte si kostkou. Pokud vám padlo 1, jste všichni zraněni za 1 život, pokud vám padlo 2, 3, 4, nebo 5, jste všichni zraněni za 2 životy, pokud vám padlo 6, jste všichni zraněni za 3 životy.",1,,"Kolem hlav vám začne poletovat nespočet malých, černých, okrídlených potvor. To jsou netopýři! Koušou vás do uší, do nosu... Oháníte se kolem sebe rukama, zkoušíte je sejmout meči, netopýři jsou ale moc rychlí.",2
Smrtelné výpary,"Kdo nemá aspekt Dryáčník, hodí si kostkou. Pokud mu padne 6, nestane se mu nic, pokud mu padne 4 nebo 5, je zraněn za jeden život, pokud mu padne 2, neb 3, je zraněn za dva životy, pokud mu padne 1, chroptí.",1,,"Sházíte hlouběji a hlouběji do útrob skalního masivu. Vzduch začíná být čím dál tím zatuchlejší, smrad se postupně mění v palčivý zápach, při kterém bolí každý nádech.",1
Díra v zemi,"První z vás je zraněn za dva životy. Pokud máte kartu Lano, můžete ho vytáhntout, jinak chroptí.",1,,"První dobrodruch z ničeho nic vykřikne a udvidíte, jak padá někam do prázdna.",1
Flogistonové pole,"Pokud má někdo z vás u sebe petardy, vybuchly a každá vás všechny zraní za dva životy.",1,,"Alchymisté vědí, toto je zápach flogistonu, látky, která způsobuje hoření.",1
Zapáchající mrtvola,"Pokud má někdo z vás aspekt Medik, nebo vám na kostce padne 6, dovtípíte se, že se daná osoba udusila. Dojde vám, že není čas tu čekat, musíte rychle pryč! V opačném případě dále zkoumáte mrtvé tělo, nemůžete na nic přijít, ale postupně se vám začíná motat hlava. Odhoďte bez vyhodnocení 5 karet.",1,,"Už na začátku tunelu cítíte ukrutný smrad. Za nedlouhu spatříte na zemi ležet tělo v pokročilém stádiu rozkladu. Přemýšlíte, na co mohla neidentifikovatelná osoba zemřít. Prozkoumáváte zbytky jejího oblečení, díváte se po známkách po utrpěném zranění.",1
